t; x; y; theta
63494801.346000; -0.40; 0.00; -30.11
63506559.813000; -0.40; 0.00; -30.11
63523800.315000; -0.40; 0.00; -30.11
63540099.589000; -0.40; 0.00; -30.11
63554578.562000; -0.40; 0.00; -30.11
63570970.200000; -0.40; 0.00; -30.11
63587665.577000; -0.40; 0.00; -30.11
63604264.249000; -0.40; 0.00; -30.11
63618447.976000; -0.40; 0.00; -30.11
63636381.525000; -0.40; 0.00; -30.11
63655712.803000; -0.40; 0.00; -30.11
63668673.433000; -0.40; 0.00; -30.11
63682597.081000; -0.40; 0.00; -30.11
63698550.594000; -0.40; 0.00; -30.11
63714656.050000; -0.40; 0.00; -30.11
63731758.460000; -0.40; 0.00; -30.11
63748531.268000; -0.40; 0.00; -30.11
63762536.777000; -0.40; 0.00; -30.11
63778625.686000; -0.40; 0.00; -30.11
63794610.765000; -0.40; 0.00; -30.11
63811650.501000; -0.40; 0.00; -30.11
63827540.023000; -0.40; 0.00; -30.11
63843141.563000; -0.40; 0.00; -30.11
63859487.074000; -0.40; 0.00; -30.11
63875192.405000; -0.40; 0.00; -30.11
63890957.689000; -0.40; 0.00; -30.11
63908371.200000; -0.40; 0.00; -30.11
63922873.664000; -0.40; 0.00; -30.11
63938665.121000; -0.40; 0.00; -30.11
63954641.773000; -0.40; 0.00; -30.11
63971230.235000; -0.40; 0.00; -30.11
63987485.329000; -0.40; 0.00; -30.11
64005325.707000; -0.40; 0.00; -30.11
64020010.518000; -0.40; 0.00; -30.11
64035369.248000; -0.40; 0.00; -30.11
64054039.830000; -0.40; 0.00; -30.11
64066689.414000; -0.40; 0.00; -30.11
64082707.903000; -0.40; 0.00; -30.11
64099590.246000; -0.40; 0.00; -30.11
64115082.463000; -0.40; 0.00; -30.11
64130493.910000; -0.40; 0.00; -30.11
64148458.873000; -0.40; 0.00; -30.11
64163470.594000; -0.40; 0.00; -30.11
64184500.292000; -0.40; 0.00; -30.11
64198863.448000; -0.40; 0.00; -30.11
64210741.703000; -0.40; 0.00; -30.11
64226497.094000; -0.40; 0.00; -30.11
64244260.548000; -0.40; 0.00; -30.11
64264309.852000; -0.40; 0.00; -30.11
64277553.542000; -0.40; 0.00; -30.11
64300108.343000; -0.40; 0.00; -30.11
64309054.325000; -0.40; 0.00; -30.11
64324044.408000; -0.40; 0.00; -30.11
64339393.252000; -0.40; 0.00; -30.11
64356490.339000; -0.40; 0.00; -30.11
64371145.629000; -0.40; 0.00; -30.11
64386800.832000; -0.40; 0.00; -30.11
64402712.944000; -0.40; 0.00; -30.11
64418873.990000; -0.40; 0.00; -30.11
64434654.810000; -0.40; 0.00; -30.11
64450662.461000; -0.40; 0.00; -30.11
64467663.133000; -0.40; 0.00; -30.11
64483778.953000; -0.40; 0.00; -30.11
64500469.792000; -0.40; 0.00; -30.11
64522293.522000; -0.40; 0.00; -30.11
64548955.216000; -0.40; 0.00; -30.11
64562469.783000; -0.40; 0.00; -30.11
64569890.491000; -0.40; 0.00; -30.11
64581057.477000; -0.40; 0.00; -30.11
64596258.816000; -0.40; 0.00; -30.11
64611417.409000; -0.40; 0.00; -30.11
64626913.990000; -0.40; 0.00; -30.11
64643909.998000; -0.40; 0.00; -30.11
64659246.239000; -0.40; 0.00; -30.11
64675467.013000; -0.40; 0.00; -30.11
64691983.061000; -0.40; 0.00; -30.11
64707153.503000; -0.40; 0.00; -30.11
64724095.383000; -0.40; 0.00; -30.11
64739249.045000; -0.40; 0.00; -30.11
64756086.778000; -0.40; 0.00; -30.11
64771545.538000; -0.40; 0.00; -30.11
64788284.852000; -0.40; 0.00; -30.11
64802680.227000; -0.40; 0.00; -30.11
64820267.645000; -0.40; 0.00; -30.11
64834483.421000; -0.40; 0.00; -30.11
64850488.324000; -0.40; 0.00; -30.11
64866512.179000; -0.40; 0.00; -30.11
64882857.992000; -0.40; 0.00; -30.11
64898871.240000; -0.40; 0.00; -30.11
64916385.196000; -0.40; 0.00; -30.11
64930606.784000; -0.40; 0.00; -30.11
64946633.547000; -0.40; 0.00; -30.11
64962483.920000; -0.40; 0.00; -30.11
64982828.979000; -0.40; 0.00; -30.11
64999083.023000; -0.40; 0.00; -30.11
65011066.370000; -0.40; 0.00; -30.11
65026624.887000; -0.40; 0.00; -30.11
65044777.728000; -0.40; 0.00; -30.11
65060395.379000; -0.40; 0.00; -30.11
65078392.091000; -0.40; 0.00; -30.11
65094587.217000; -0.40; 0.00; -30.11
65107211.541000; -0.40; 0.00; -30.11
65122631.627000; -0.40; 0.00; -30.11
65138488.491000; -0.40; 0.00; -30.11
65154775.753000; -0.40; 0.00; -30.11
65170595.768000; -0.40; 0.00; -30.11
65187697.586000; -0.40; 0.00; -30.11
65204329.797000; -0.40; 0.00; -30.11
65218519.618000; -0.40; 0.00; -30.11
65234828.955000; -0.40; 0.00; -30.11
65251711.097000; -0.40; 0.00; -30.11
65266635.573000; -0.40; 0.00; -30.11
65285008.902000; -0.40; 0.00; -30.11
65300040.008000; -0.40; 0.00; -30.11
65314983.333000; -0.40; 0.00; -30.11
65331180.411000; -0.40; 0.00; -30.11
65348614.458000; -0.40; 0.00; -30.11
65362550.937000; -0.40; 0.00; -30.11
65378770.854000; -0.40; 0.00; -30.11
65394670.777000; -0.40; 0.00; -30.11
65412007.948000; -0.40; 0.00; -30.11
65426985.546000; -0.40; 0.00; -30.11
65442798.384000; -0.40; 0.00; -30.11
