t; x; y; theta
47188286.635001; 0.00; 0.00; 0.00
47201384.370001; 0.00; 0.00; 0.00
47217824.374001; 0.00; 0.00; 0.00
47231577.458000; 0.00; 0.00; 0.00
47243442.974001; 0.00; 0.00; 0.00
47258315.326000; 0.00; 0.00; 0.00
47276948.295000; 0.00; 0.00; 0.00
47292109.009001; 0.00; 0.00; 0.00
47306172.631000; 0.00; 0.00; 0.00
47322802.806001; 0.00; 0.00; 0.00
47339702.316001; 0.00; 0.00; 0.00
47359543.098001; 0.00; 0.00; 0.00
47378556.734000; 0.00; 0.00; 0.00
47389387.299001; 0.00; 0.00; 0.00
47403803.663000; 0.00; 0.00; 0.00
47437658.209000; 0.00; 0.00; 0.00
47467245.388000; 0.00; 0.00; 0.00
47482400.904000; 0.00; 0.00; 0.00
47494664.213000; 0.00; 0.00; 0.00
47504410.238001; 0.00; 0.00; 0.00
47517845.483001; 0.00; 0.00; 0.00
47536424.637000; 0.00; 0.00; 0.00
47550771.706000; 0.00; 0.00; 0.00
47565922.695001; 0.00; 0.00; 0.00
47581871.226001; 0.00; 0.00; 0.00
47597579.146001; 0.00; 0.00; 0.00
47614940.740000; 0.00; 0.00; 0.00
47638814.282001; 0.00; 0.00; 0.00
47656191.730000; 0.00; 0.00; 0.00
47667943.681000; 0.00; 0.00; 0.00
47683098.843000; 0.00; 0.00; 0.00
47697776.176001; 0.00; 0.00; 0.00
47714081.380001; 0.00; 0.00; 0.00
47725734.535000; 0.00; 0.00; 0.00
47745898.733001; 0.00; 0.00; 0.00
47761814.891001; 0.00; 0.00; 0.00
47785305.822000; 0.00; 0.00; 0.00
47800557.586000; 0.00; 0.00; 0.00
47813493.078001; 0.00; 0.00; 0.00
47826030.298001; 0.00; 0.00; 0.00
47840325.330000; 0.00; 0.00; 0.00
47855376.840001; 0.00; 0.00; 0.00
47869847.366001; 0.00; 0.00; 0.00
47886078.074000; 0.00; 0.00; 0.00
47901716.196000; 0.00; 0.00; 0.00
47919944.358000; 0.00; 0.00; 0.00
47934254.440001; 0.00; 0.00; 0.00
47949532.162001; 0.00; 0.00; 0.00
47984901.019000; 0.00; 0.00; 0.00
48001579.143001; 0.00; 0.00; 0.00
48018585.166000; 0.00; 0.00; 0.00
48033891.417001; 0.00; 0.00; 0.00
48050982.970000; 0.00; 0.00; 0.00
48067912.627001; 0.00; 0.00; 0.00
48085232.820000; 0.00; 0.00; 0.00
48098439.718000; 0.00; 0.00; 0.00
48114942.682000; 0.00; 0.00; 0.00
48129152.040000; 0.00; 0.00; 0.00
48148148.801001; 0.00; 0.00; 0.00
48165398.543000; 0.00; 0.00; 0.00
